content_id,client_id,baseline_rank,baseline_action_score,suggested_action,reason_codes,is_declining_label,trend_direction,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,content_age_days,days_since_last_update,word_count
content_72039d68836c,client_6208ef0f77,2630,0.7615043409546485,monitor,general_review,1,down,19910,11,625,28.7,0.06,0.16,286,104,7443.0
content_22f32c06ad75,client_6208ef0f77,2631,0.7615039076633987,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,8879,10,104,16.8,0.11,0.96,287,104,6568.0
content_b79ce779ee19,client_6208ef0f77,2632,0.7614156863071228,monitor,general_review,0,stable,12772,25,192,23.4,0.2,2.08,236,104,5328.0
content_db6997105471,client_4e07408562,2633,0.761412001547619,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,45611,97,106,7.3,0.21,6.6,420,20,2799.0
content_a16ec0f41dcf,client_6208ef0f77,2634,0.7613453244314059,monitor,general_review,1,down,13176,83,305,21.7,0.63,1.64,236,104,5812.0
content_35545a21fed2,client_19581e27de,2635,0.7613241801587302,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3533,6,10,1.9,0.17,0.0,329,104,0.0
content_8719691f4dce,client_19581e27de,2636,0.7613237984643857,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4138,3,5,7.6,0.07,0.0,148,104,0.0
content_83a1e3dad03a,client_19581e27de,2637,0.761310247626384,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,37587,117,179,7.7,0.31,1.12,445,20,2389.0
content_e2c32bb47be4,client_19581e27de,2638,0.7612884481259169,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4116,15,15,6.1,0.36,0.0,330,104,0.0
content_5882b06e7320,client_7f2253d7e2,2639,0.761287804024343,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,49382,88,83,5.1,0.18,1.2,224,20,3658.0
content_9f3f4f445b28,client_19581e27de,2640,0.761275169239029,refresh_and_review_ctr,position_opportunity,0,stable,54647,391,395,4.6,0.72,1.52,112,20,3027.0
content_1122abfecbb0,client_6208ef0f77,2641,0.7612200854537148,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,6952,29,160,11.9,0.42,6.25,125,104,3821.0
content_a91d4278281f,client_19581e27de,2642,0.7611993338402027,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,7298,18,31,4.0,0.25,3.23,466,22,0.0
content_3fc76c6f83bf,client_19581e27de,2643,0.7611448292545352,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,29869,51,30,3.5,0.17,0.0,112,20,3007.0
content_512fdd72fd99,client_6208ef0f77,2644,0.7611327102749432,monitor,general_review,1,down,50854,42,145,35.3,0.08,6.9,216,104,6549.0
content_f9e278aebf72,client_f369cb89fc,2645,0.7610934917938842,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,33093,149,186,3.9,0.45,4.3,147,20,2873.0
content_93756454f19c,client_19581e27de,2646,0.7610663459150326,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3781,6,11,4.2,0.16,0.0,144,104,0.0
content_3ee3863d0542,client_6208ef0f77,2647,0.7610232305666267,monitor,general_review,0,stable,17590,75,748,26.2,0.43,0.94,216,104,6173.0
content_845548b95290,client_4e07408562,2648,0.7609861435407497,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3862,2,2,5.4,0.05,0.0,421,104,0.0
content_d638046e5481,client_7f2253d7e2,2649,0.7609663376394225,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,41233,132,149,3.7,0.32,3.36,224,20,3667.0
content_1963b3e4a465,client_19581e27de,2650,0.7609261783346672,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,7840,8,41,6.5,0.1,2.44,421,22,0.0
content_98a9e7681e83,client_6208ef0f77,2651,0.7609165348794518,refresh_and_review_ctr,position_opportunity,1,down,8660,52,240,14.8,0.6,3.33,286,104,5584.0
content_9cd68bbff6cc,client_19581e27de,2652,0.7609158885087367,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,3844,11,5,4.2,0.29,0.0,330,104,0.0
content_7d4781134948,client_6208ef0f77,2653,0.7608295181694342,refresh_and_review_ctr,position_opportunity,0,stable,9235,67,373,16.1,0.73,2.14,236,104,4336.0
content_1526aff2d409,client_6208ef0f77,2654,0.7608270281512605,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,6286,28,266,9.5,0.45,0.38,124,104,3687.0
content_294db7b2994e,client_3fdba35f04,2655,0.7608249836285179,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,12335,3,75,15.5,0.02,1.33,165,26,2846.0
content_30646c3f5fbd,client_3fdba35f04,2656,0.7607841619831933,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,12435,2,63,14.5,0.02,1.59,310,26,3070.0
content_c9666ca71957,client_4e07408562,2657,0.7607607647966687,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,9196,17,14,7.1,0.18,14.29,487,25,3140.0
content_d263c7f4f8c0,client_4e07408562,2658,0.7607165293431373,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,9296,17,34,8.0,0.18,5.88,280,25,2984.0
